Setting,Value
WakeOnLAN,ACandBattery
WakeOnLANDock,Enable
EthernetLANOptionROM,Enable
IPv4NetworkStack,Enable
IPv6NetworkStack,Disable
UefiPxeBootPriority,IPv4First
WirelessAutoDisconnection,Enable
MACAddressPassThrough,Enable
AlwaysOnUSB,Enable
TrackPoint,Automatic
TouchPad,Automatic
FnCtrlKeySwap,Disable
FnSticky,Disable
FnKeyAsPrimary,Disable
BootDisplayDevice,LCD
BootTimeExtension,Disable
SpeedStep,Enable
AdaptiveThermalManagementAC,MaximizePerformance
AdaptiveThermalManagementBattery,Balanced
CPUPowerManagement,Enable
OnByAcAttach,Disable
PasswordBeep,Disable
KeyboardBeep,Enable
LockBIOSSetting,Disable
MinimumPasswordLength,Disable
BIOSPasswordAtUnattendedBoot,Enable
BIOSPasswordAtReboot,Disable
BIOSPasswordAtBootDeviceList,Enable
PasswordCountExceededError,Enable
FingerprintPredesktopAuthentication,Enable
FingerprintSecurityMode,Normal
FingerprintPasswordAuthentication,Enable
SecurityChip,Enable
PhysicalPresenceForTpmClear,Enable
BIOSUpdateByEndUsers,Enable
SecureRollBackPrevention,Enable
WindowsUEFIFirmwareUpdate,Enable
DataExecutionPrevention,Enable
AmdVt,Enable
EthernetLANAccess,Enable
WirelessLANAccess,Enable
WirelessWANAccess,Enable
BluetoothAccess,Enable
USBPortAccess,Enable
MemoryCardSlotAccess,Enable
SmartCardSlotAccess,Enable
IntegratedCameraAccess,Enable
IntegratedAudioAccess,Enable
MicrophoneAccess,Enable
FingerprintReaderAccess,Enable
BottomCoverTamperDetected,Disable
InternalStorageTamper,Disable
ComputraceModuleActivation,Enable
SecureBoot,Enable
DeviceGuard,Disable
BootMode,Quick
StartupOptionKeys,Enable
BootDeviceListF12Option,Enable
BootOrder,PCILAN:NVMe0:NVMe1:HDD0
NetworkBoot,PCILAN
BootOrderLock,Disable
